"SUB_ID","QC_Left_Lateral","Comments_1","QC_Left_Medial","QC_Right_Lateral","QC_Right_Medial"
"sub-28877","2","noise, temporal","","3",""
"sub-28878","2","some scalp","","",""
"sub-28879","","noise","","2","2"
"sub-28880","","some scalp","","",""
"sub-28881","","","","",""
"sub-28882","","","","",""
"sub-28883","","","","",""
"sub-28884","","","","",""
"sub-28885","2","noise, some scalp","","2",""
"sub-28886","2","noise","","2",""
"sub-28887","2","noise, some scalp","","2",""
"sub-28888","","","","",""
"sub-28889","","","","",""
"sub-28890","2","some scalp","","2",""
"sub-28891","2","some scalp","","",""
"sub-28892","2","noise","","2",""
"sub-28893","","","","",""
"sub-28894","","","","",""
"sub-28895","","noise","","",""
"sub-28896","","some scalp","","",""
"sub-28897","","","","",""
"sub-28898","2","some scalp","","2",""
"sub-28899","2","noise","","2",""
"sub-28900","","some scalp","","",""
"sub-28901","","","","",""
"sub-28902","","","","",""
"sub-28903","","","","",""
"sub-28904","","","","",""
"sub-28905","","","","",""
"sub-28906","","","","",""
"sub-28907","2","noise","","2",""
"sub-28908","","","","",""
"sub-28909","","","","",""
"sub-28920","","some scalp","","",""
"sub-28924","","","","",""
"sub-28925","","","","",""
"sub-28926","","","","",""
"sub-28927","","","","",""
"sub-28930","","noise","","",""
"sub-28931","","","","",""
"sub-28933","2","noise","2","2","2"
"sub-28934","3","noise","2","3","3"
"sub-28935","","","","",""
"sub-28936","","noise","","2",""
"sub-28937","","","","",""
"sub-28938","","","","",""
"sub-28939","","","","",""
"sub-28940","","","","",""
"sub-28941","","","","",""
"sub-28942","","","","",""
"sub-28943","","","","",""
"sub-28944","","","","",""
"sub-28945","","","","",""
"sub-28946","","","","",""
"sub-28947","","","","",""
"sub-28948","","","","",""
"sub-28949","","","","",""
"sub-28950","","","","",""
"sub-28951","2","noise","","2","2"
"sub-28952","","","","",""
"sub-28953","","","","",""
"sub-28954","","","","",""
"sub-28955","","","","",""
"sub-28956","","","","",""
"sub-28957","2","some scalp","","",""
"sub-28958","","","","",""
"sub-28960","","","","",""
"sub-28961","","","","",""
"sub-28962","","","","",""
"sub-28963","2","some scalp","2","2","2"
"sub-28964","","","","",""
"sub-28965","3","noise","3","3","3"
"sub-28966","","","","",""
"sub-28967","","","","",""
